"date","home.team","home.score","away.team","away.score"
"25/11/2018","Ath Bilbao",8,"Getafe",15
"25/11/2018","Espanol",18,"Girona",16
"25/11/2018","Sevilla",17,"Valladolid",13
"25/11/2018","Villarreal",13,"Betis",13
"26/11/2018","Sociedad",15,"Celta",6
"30/11/2018","Vallecano",5,"Eibar",13
"01/12/2018","Celta",12,"Huesca",8
"01/12/2018","Getafe",14,"Espanol",8
"01/12/2018","Real Madrid",13,"Valencia",7
"01/12/2018","Valladolid",20,"Leganes",14
"02/12/2018","Alaves",11,"Sevilla",14
"02/12/2018","Barcelona",16,"Villarreal",12
"02/12/2018","Betis",6,"Sociedad",6
"02/12/2018","Girona",13,"Ath Madrid",17
"03/12/2018","Levante",17,"Ath Bilbao",12
"07/12/2018","Leganes",17,"Getafe",6
"08/12/2018","Ath Madrid",12,"Alaves",13
"08/12/2018","Espanol",15,"Barcelona",17
"08/12/2018","Valencia",16,"Sevilla",11
"08/12/2018","Villarreal",13,"Celta",14
"09/12/2018","Betis",8,"Vallecano",12
"09/12/2018","Eibar",32,"Levante",14
"09/12/2018","Huesca",11,"Real Madrid",5
"09/12/2018","Sociedad",23,"Valladolid",10
"10/12/2018","Ath Bilbao",25,"Girona",3
"14/12/2018","Celta",15,"Leganes",5
"15/12/2018","Eibar",18,"Valencia",11
"15/12/2018","Getafe",9,"Sociedad",9
"15/12/2018","Real Madrid",9,"Vallecano",11
"15/12/2018","Valladolid",8,"Ath Madrid",14
"16/12/2018","Espanol",10,"Betis",12
"16/12/2018","Huesca",30,"Villarreal",10
"16/12/2018","Levante",20,"Barcelona",16
"16/12/2018","Sevilla",17,"Girona",8
"17/12/2018","Alaves",11,"Ath Bilbao",6
"21/12/2018","Girona",12,"Getafe",5
"21/12/2018","Sociedad",18,"Alaves",9
"22/12/2018","Ath Bilbao",8,"Valladolid",5
"22/12/2018","Ath Madrid",8,"Espanol",18
"22/12/2018","Barcelona",9,"Celta",11
"22/12/2018","Betis",4,"Eibar",15
"23/12/2018","Leganes",13,"Sevilla",8
"23/12/2018","Valencia",19,"Huesca",11
"23/12/2018","Vallecano",18,"Levante",12
"03/01/2019","Villarreal",12,"Real Madrid",14
"04/01/2019","Espanol",12,"Leganes",10
"04/01/2019","Levante",19,"Girona",9
"05/01/2019","Alaves",14,"Valencia",14
"05/01/2019","Huesca",11,"Betis",7
"05/01/2019","Valladolid",12,"Vallecano",9
"06/01/2019","Eibar",24,"Villarreal",7
"06/01/2019","Getafe",10,"Barcelona",12
"06/01/2019","Real Madrid",28,"Sociedad",12
"06/01/2019","Sevilla",15,"Ath Madrid",12
"07/01/2019","Celta",17,"Ath Bilbao",8
"11/01/2019","Vallecano",11,"Celta",13
"12/01/2019","Girona",9,"Alaves",15
"12/01/2019","Leganes",14,"Huesca",9
"12/01/2019","Valencia",17,"Valladolid",6
"12/01/2019","Villarreal",17,"Getafe",9
"13/01/2019","Ath Bilbao",10,"Sevilla",10
"13/01/2019","Ath Madrid",19,"Levante",7
"13/01/2019","Barcelona",7,"Eibar",15
"13/01/2019","Betis",9,"Real Madrid",14
"14/01/2019","Sociedad",9,"Espanol",21
"18/01/2019","Getafe",12,"Alaves",6
"19/01/2019","Celta",12,"Valencia",13
"19/01/2019","Huesca",14,"Ath Madrid",15
"19/01/2019","Real Madrid",23,"Sevilla",4
"20/01/2019","Barcelona",15,"Leganes",5
"20/01/2019","Betis",12,"Girona",8
"20/01/2019","Levante",13,"Valladolid",13
"20/01/2019","Vallecano",11,"Sociedad",10
"20/01/2019","Villarreal",3,"Ath Bilbao",9
"21/01/2019","Eibar",16,"Espanol",6
"26/01/2019","Ath Madrid",10,"Getafe",6
"26/01/2019","Leganes",9,"Eibar",5
"26/01/2019","Sevilla",23,"Levante",7
"26/01/2019","Valencia",18,"Villarreal",14
"27/01/2019","Ath Bilbao",11,"Betis",8
"27/01/2019","Espanol",13,"Real Madrid",16
"27/01/2019","Girona",13,"Barcelona",15
"27/01/2019","Sociedad",8,"Huesca",8
"27/01/2019","Valladolid",19,"Celta",8
